ID,Title,Author,Genre,Available Copies
221,Pride and Prejudice, Jane Austen,Classic,4
222,Moby-Dick, Herman Melville,Classic,2
223,To Kill a Mockingbird, Harper Lee,Classic,5
224,The Great Gatsby, F. Scott Fitzgerald,Classic,1
225,War and Peace, Leo Tolstoy,Classic,4
226,Jane Eyre, Charlotte Brontë,Classic,5
227,1984, George Orwell,Classic,5
228,Great Expectations, Charles Dickens,Classic,2
229,The Catcher in the Rye, J.D. Salinger,Classic,2
230,Wuthering Heights, Emily Brontë,Classic,3
231,Frankenstein, Mary Shelley,Classic,2
232,The Grapes of Wrath, John Steinbeck,Classic,5
233,Mansfield Park, Jane Austen,Classic,3
234,The Odyssey, Homer,Classic,4
235,Dracula, Bram Stoker,Classic,3
236,Sense and Sensibility, Jane Austen,Classic,3
237,Crime and Punishment, Fyodor Dostoevsky,Classic,5
238,Les Misérables, Victor Hugo,Classic,3
239,The Scarlet Letter, Nathaniel Hawthorne,Classic,3
240,Anna Karenina, Leo Tolstoy,Classic,3
