ID,Title,Author,Genre,Available Copies
161,1984, George Orwell,Dystopian,4
162,Brave New World, Aldous Huxley,Dystopian,2
163,The Handmaid's Tale, Margaret Atwood,Dystopian,3
164,Fahrenheit 451, Ray Bradbury,Dystopian,5
165,The Hunger Games, Suzanne Collins,Dystopian,3
166,The Road, Cormac McCarthy,Dystopian,1
167,The Giver, Lois Lowry,Dystopian,3
168,A Clockwork Orange, Anthony Burgess,Dystopian,5
169,The Maze Runner, James Dashner,Dystopian,2
170,Station Eleven, Emily St. John Mandel,Dystopian,5
171,The Road, Cormac McCarthy,Dystopian,1
172,The Children of Men, P.D. James,Dystopian,1
173,Never Let Me Go, Kazuo Ishiguro,Dystopian,5
174,The Windup Girl, Paolo Bacigalupi,Dystopian,3
175,Parable of the Sower, Octavia E. Butler,Dystopian,5
176,Alas, Babylon,Dystopian,1
177,The Left Hand of Darkness, Ursula K. Le Guin,Dystopian,4
178,The Stand, Stephen King,Dystopian,5
179,The Drowned World, J.G. Ballard,Dystopian,2
180,The Power, Naomi Alderman,Dystopian,1
