ID,Title,Author,Genre,Available Copies
1,Dracula, Bram Stoker,Horror,1
2,Frankenstein, Mary Shelley,Horror,5
3,The Shining, Stephen King,Horror,3
4,The Exorcist, William Peter Blatty,Horror,4
5,It, Stephen King,Horror,4
6,The Haunting of Hill House, Shirley Jackson,Horror,4
7,Psycho, Robert Bloch,Horror,5
8,The Silence of the Lambs, Thomas Harris,Horror,1
9,Pet Sematary, Stephen King,Horror,3
10,The Woman in Black, Susan Hill,Horror,5
11,The Stand, Stephen King,Horror,4
12,House of Leaves, Mark Z. Danielewski,Horror,2
13,American Psycho, Bret Easton Ellis,Horror,3
14,The Tell-Tale Heart, Edgar Allan Poe,Horror,5
15,Ghost Story, Peter Straub,Horror,3
16,Bird Box, Josh Malerman,Horror,4
17,Hell House, Richard Matheson,Horror,3
18,The Amityville Horror, Jay Anson,Horror,1
19,The Girl with All the Gifts, M.R. Carey,Horror,4
20,Coraline, Neil Gaiman,Horror,2
