ID,Title,Author,Genre,Available Copies
181,Naruto, Masashi Kishimoto,Manga,2
182,One Piece, Eiichiro Oda,Manga,4
183,Attack on Titan, Hajime Isayama,Manga,1
184,Death Note, Tsugumi Ohba and Takeshi Obata,Manga,1
185,Dragon Ball, Akira Toriyama,Manga,4
186,My Hero Academia, Kohei Horikoshi,Manga,3
187,Fullmetal Alchemist, Hiromu Arakawa,Manga,5
188,Tokyo Ghoul, Sui Ishida,Manga,2
189,One Punch Man, ONE and Yusuke Murata,Manga,5
190,Bleach, Tite Kubo,Manga,1
191,Hunter x Hunter, Yoshihiro Togashi,Manga,3
192,Fairy Tail, Hiro Mashima,Manga,1
193,Sword Art Online, Reki Kawahara and abec,Manga,5
194,Demon Slayer: Kimetsu no Yaiba, Koyoharu Gotouge,Manga,3
195,One Piece, Eiichiro Oda,Manga,5
196,Black Clover, Yūki Tabata,Manga,2
197,Dr. Stone, Riichiro Inagaki and Boichi,Manga,4
198,Promised Neverland, Kaiu Shirai and Posuka Demizu,Manga,3
199,Akira, Katsuhiro Otomo,Manga,1
200,Yu Yu Hakusho, Yoshihiro Togashi,Manga,5
