ID,Title,Author,Genre,Available Copies
141,The Adventures of Sherlock Holmes, Arthur Conan Doyle,Mystery,3
142,Gone Girl, Gillian Flynn,Mystery,2
143,The Girl with the Dragon Tattoo, Stieg Larsson,Mystery,5
144,The Da Vinci Code, Dan Brown,Mystery,2
145,Murder on the Orient Express, Agatha Christie,Mystery,4
146,The Hound of the Baskervilles, Arthur Conan Doyle,Mystery,1
147,The No. 1 Ladies' Detective Agency, Alexander McCall Smith,Mystery,2
148,The Cuckoo's Calling, Robert Galbraith (pseudonym for J.K. Rowling),Mystery,4
149,Big Little Lies, Liane Moriarty,Mystery,3
150,The Silence of the Lambs, Thomas Harris,Mystery,3
151,The Reversal, Michael Connelly,Mystery,5
152,The Woman in White, Wilkie Collins,Mystery,4
153,The Secret History, Donna Tartt,Mystery,3
154,In the Woods, Tana French,Mystery,5
155,Still Life, Louise Penny,Mystery,2
156,The Dry, Jane Harper,Mystery,2
157,The Silent Patient, Alex Michaelides,Mystery,4
158,The Girl on the Train, Paula Hawkins,Mystery,2
159,Dark Places, Gillian Flynn,Mystery,4
160,The Poet, Michael Connelly,Mystery,3
