ID,Title,Author,Genre,Available Copies
21,Dune, Frank Herbert,SciFi,2
22,Neuromancer, William Gibson,SciFi,5
23,The Hitchhiker's Guide to the Galaxy, Douglas Adams,SciFi,5
24,Brave New World, Aldous Huxley,SciFi,2
25,Ender's Game, Orson Scott Card,SciFi,5
26,1984, George Orwell,SciFi,3
27,The Foundation series, Isaac Asimov (Starting with Foundation),SciFi,3
28,Snow Crash, Neal Stephenson,SciFi,5
29,The Left Hand of Darkness, Ursula K. Le Guin,SciFi,1
30,Hyperion, Dan Simmons,SciFi,4
31,The Martian, Andy Weir,SciFi,4
32,Altered Carbon, Richard K. Morgan,SciFi,2
33,A Canticle for Leibowitz, Walter M. Miller Jr.,SciFi,4
34,The War of the Worlds, H.G. Wells,SciFi,5
35,Childhood's End, Arthur C. Clarke,SciFi,2
36,The Time Machine, H.G. Wells,SciFi,4
37,The Three-Body Problem, Liu Cixin,SciFi,5
38,The Expanse series, James S.A. Corey (Starting with Leviathan Wakes),SciFi,1
39,Alas, Babylon,SciFi,4
40,The Windup Girl, Paolo Bacigalupi,SciFi,4
