ID,Title,Author,Genre,Available Copies
201,Joy of Cooking, Irma S. Rombauer,Cookbook,2
202,Mastering the Art of French Cooking, Julia Child,Cookbook,2
203,The Food Lab: Better Home Cooking Through Science, J. Kenji López-Alt,Cookbook,1
204,The Joy of Vegan Baking, Colleen Patrick-Goudreau,Cookbook,2
205,Essentials of Classic Italian Cooking, Marcella Hazan,Cookbook,1
206,Salt, Fat,Cookbook,4
207,Barefoot Contessa at Home, Ina Garten,Cookbook,5
208,The Pioneer Woman Cooks: Recipes from an Accidental Country Girl, Ree Drummond,Cookbook,3
209,The Smitten Kitchen Cookbook, Deb Perelman,Cookbook,2
210,The Whole 30: The 30-Day Guide to Total Health and Food Freedom, Melissa Hartwig and Dallas Hartwig,Cookbook,1
211,The Barefoot Contessa Cookbook, Ina Garten,Cookbook,4
212,Everyday Italian: 125 Simple and Delicious Recipes, Giada De Laurentiis,Cookbook,1
213,Jamie Oliver's Food Revolution: Rediscover How to Cook Simple, Delicious,Cookbook,1
214,Cravings: Recipes for All the Food You Want to Eat, Chrissy Teigen,Cookbook,4
215,Thug Kitchen: The Official Cookbook, Thug Kitchen,Cookbook,4
216,The Pioneer Woman Cooks: Dinnertime, Ree Drummond,Cookbook,1
217,The Silver Palate Cookbook, Julee Rosso and Sheila Lukins,Cookbook,4
218,The Complete Cooking for Two Cookbook, America's Test Kitchen,Cookbook,5
219,The Joy of Cooking: 75th Anniversary Edition, Irma S. Rombauer,Cookbook,3
220,The Smitten Kitchen Cookbook, Deb Perelman,Cookbook,2
