ID,Title,Author,Genre,Available Copies
101,A People's History of the United States, Howard Zinn,Philosphy,5
102,Guns, Germs,Philosphy,5
103,Sapiens: A Brief History of Humankind, Yuval Noah Harari,Philosphy,1
104,The Wright Brothers, David McCullough,Philosphy,5
105,The Rise and Fall of the Third Reich, William L. Shirer,Philosphy,2
106,1491: New Revelations of the Americas Before Columbus, Charles C. Mann,Philosphy,2
107,The Guns of August, Barbara W. Tuchman,Philosphy,1
108,SPQR: A History of Ancient Rome, Mary Beard,Philosphy,2
109,The Silk Roads: A New History of the World, Peter Frankopan,Philosphy,5
110,A Short History of Nearly Everything, Bill Bryson,Philosphy,3
111,A Short History of the World, H.G. Wells,Philosphy,2
112,The Diary of a Young Girl, Anne Frank,Philosphy,5
113,The Civil War: A Narrative, Shelby Foote,Philosphy,2
114,Citizens: A Chronicle of the French Revolution, Simon Schama,Philosphy,5
115,1776, David McCullough,Philosphy,3
116,The Making of the Atomic Bomb, Richard Rhodes,Philosphy,2
117,The Wright Brothers, David McCullough,Philosphy,2
118,The Devil in the White City, Erik Larson,Philosphy,1
119,The Plantagenets: The Warrior Kings and Queens Who Made England, Dan Jones,Philosphy,3
120,The Swerve: How the World Became Modern, Stephen Greenblatt,Philosphy,1
121,Meditations, Marcus Aurelius,Philosphy,4
122,The Republic, Plato,Philosphy,1
123,Being and Time, Martin Heidegger,Philosphy,4
124,Critique of Pure Reason, Immanuel Kant,Philosphy,3
125,The Nicomachean Ethics, Aristotle,Philosphy,3
126,The Art of War, Sun Tzu,Philosphy,4
127,Thus Spoke Zarathustra, Friedrich Nietzsche,Philosphy,4
128,The Prince, Niccolò Machiavelli,Philosphy,2
129,The Tao Te Ching, Laozi,Philosphy,3
130,Simulacra and Simulation, Jean Baudrillard,Philosphy,5
131,Groundwork of the Metaphysics of Morals, Immanuel Kant,Philosphy,1
132,The Birth of Tragedy, Friedrich Nietzsche,Philosphy,3
133,The Phenomenology of Spirit, Georg Wilhelm Friedrich Hegel,Philosphy,3
134,The Social Contract, Jean-Jacques Rousseau,Philosphy,5
135,The Second Sex, Simone de Beauvoir,Philosphy,3
136,The Art of Loving, Erich Fromm,Philosphy,3
137,The Ethics, Benedict de Spinoza,Philosphy,4
138,The Structure of Scientific Revolutions, Thomas S. Kuhn,Philosphy,2
139,A Theory of Justice, John Rawls,Philosphy,2
140,Being and Nothingness, Jean-Paul Sartre,Philosphy,1
